id,gender,region,city,age,edu_degree,major,inistitute
172608648,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,قانون,جامعة دار العلوم
171485161,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,طب بشري,جامعة أم القرى 
163929521,ذكر,لا يوجد,لا يوجد,30.0,دبلوم تقني أو ما يعادله,مالية,جامعة الإمام محمد بن سعود الإسلامية
161214449,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,هندسة كهربائية,جامعة الملك فهد للبترول و المعادن
165320902,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,طب بشري,جامعة جازان 
166811968,ذكر,لا يوجد,لا يوجد,30.0,الماجستير أو ما يعادلها,طب بشري,جامعة الملك سعود
168359585,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,الكيمياء الحيوية,جامعة تبوك 
162548140,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة الملك فهد للبترول و المعادن
169859836,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
171434630,ذكر,لا يوجد,لا يوجد,30.0,الدكتوراه أو ما يعادلها,طب بشري,جامعة الملك فيصل 
163302018,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,نظم معلومات,جامعة الملك سعود
168010332,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة القصيم
172878338,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,محاسبة,جامعة الجوف
173299846,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,أحياء,جامعة الملك سعود
163735863,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,المناهج وطرق التدريس,جامعة الإمام محمد بن سعود الإسلامية
163271215,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة الباحة
165953241,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,الكيمياء,جامعة طيبة
169758781,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,هندسة صناعية,جامعة الأعمال و التكنولوجيا
162443043,ذكر,لا يوجد,لا يوجد,30.0,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة الملك عبد العزيز
