id,gender,region,city,age,edu_degree,major,inistitute
161061043,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
161862177,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
172175264,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
162008225,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
170739101,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
165655691,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
163593235,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
168253287,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
169163533,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
172615228,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
163063928,ذكر,الرياض,الرياض,30,ثانوية أو ما يعادلها,لا يوجد,مدارس منارات الرياض
163318291,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
165431379,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
161891813,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
164067782,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
163949167,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
166697285,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
163938267,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,لا يوجد
166596079,ذكر,لا يوجد,لا يوجد,30,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
162205283,ذكر,لا يوجد,لا يوجد,29,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
