id,gender,region,city,age,edu_degree,major,inistitute
167136907,أنثى,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,محاسبة,جامعة الملك عبد العزيز
169608148,أنثى,لا يوجد,لا يوجد,46.0,البكالوريوس أو ما يعادلها,علوم الغذاء والتغذية,جامعة الملك عبد العزيز
164339847,أنثى,لا يوجد,لا يوجد,59.0,دبلوم تقني أو ما يعادله,تمريض,أخرى
169039491,أنثى,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,أحياء,جامعة الملك عبد العزيز
162085070,أنثى,لا يوجد,لا يوجد,41.0,البكالوريوس أو ما يعادلها,العلوم الإجتماعية – معلمين,جامعة الأميره نوره بنت عبد الرحمن
163590687,أنثى,لا يوجد,لا يوجد,53.0,البكالوريوس أو ما يعادلها,إدارة عامة,جامعة الملك عبد العزيز
166087486,أنثى,لا يوجد,لا يوجد,50.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,أخرى
163382913,أنثى,لا يوجد,لا يوجد,40.0,الماجستير أو ما يعادلها,مالية,جامعة عفت
167217989,أنثى,لا يوجد,لا يوجد,54.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة القصيم
166064092,أنثى,لا يوجد,لا يوجد,44.0,البكالوريوس أو ما يعادلها,تربية خاصة,جامعة الطائف 
169391237,أنثى,لا يوجد,لا يوجد,41.0,الماجستير أو ما يعادلها,إدارة أعمال,جامعة الأميره نوره بنت عبد الرحمن
172579399,أنثى,لا يوجد,لا يوجد,43.0,البكالوريوس أو ما يعادلها,علم الاجتماع,جامعة الملك فيصل 
164446178,أنثى,لا يوجد,لا يوجد,59.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة الملك سعود
168933261,أنثى,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الإمام محمد بن سعود الإسلامية
164520802,أنثى,لا يوجد,لا يوجد,38.0,متوسط,لغات وترجمة - اللسانيات ودراسا,أخرى
169891639,أنثى,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,أحياء,جامعة طيبة
166089626,أنثى,لا يوجد,لا يوجد,43.0,البكالوريوس أو ما يعادلها,ثقافة إسلامية – معلمين,جامعة الأميره نوره بنت عبد الرحمن
162185241,أنثى,لا يوجد,لا يوجد,57.0,البكالوريوس أو ما يعادلها,علم الحديث,جامعة الإمام محمد بن سعود الإسلامية
165168186,أنثى,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,اللغة الإنجليزية - معلمين,جامعة الدمام
