id,gender,region,city,age,edu_degree,major,inistitute
161426708,ذكر,لا يوجد,لا يوجد,42.0,البكالوريوس أو ما يعادلها,الكيمياء الحيوية,جامعة الملك سعود
162537002,ذكر,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة الملك فيصل 
172476276,ذكر,لا يوجد,لا يوجد,39.0,الماجستير أو ما يعادلها,إدارة أعمال,جامعة الأعمال و التكنولوجيا
166789730,ذكر,لا يوجد,لا يوجد,54.0,البكالوريوس أو ما يعادلها,لغة عربية,جامعة الملك عبد العزيز
171290356,ذكر,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,إدارة عامة,جامعة الملك عبد العزيز
166602230,ذكر,لا يوجد,لا يوجد,48.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,جامعة الملك عبد العزيز
162814326,ذكر,لا يوجد,لا يوجد,41.0,البكالوريوس أو ما يعادلها,إدارة عامة,جامعة الملك عبد العزيز
161607717,ذكر,لا يوجد,لا يوجد,46.0,البكالوريوس أو ما يعادلها,علوم – معلمين,جامعة أم القرى 
163360220,ذكر,لا يوجد,لا يوجد,43.0,الماجستير أو ما يعادلها,إدارة أعمال,جامعة الملك سعود
164599890,ذكر,لا يوجد,لا يوجد,50.0,البكالوريوس أو ما يعادلها,قانون,جامعة الملك سعود
172335923,ذكر,لا يوجد,لا يوجد,53.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة الملك عبد العزيز
162974310,ذكر,لا يوجد,لا يوجد,41.0,الماجستير أو ما يعادلها,العلوم الإجتماعية – معلمين,جامعة تبوك 
162542708,ذكر,لا يوجد,لا يوجد,40.0,البكالوريوس أو ما يعادلها,علوم حاسب,جامعة الملك سعود
169192408,ذكر,لا يوجد,لا يوجد,40.0,دبلوم تقني أو ما يعادله,الشبكات والإتصالات,أخرى
163064888,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,هندسة كهربائية,جامعة أم القرى 
172723966,ذكر,لا يوجد,لا يوجد,52.0,البكالوريوس أو ما يعادلها,تسويق,جامعة الملك سعود
163444888,ذكر,لا يوجد,لا يوجد,54.0,ابتدائي,لغات وترجمة - اللسانيات ودراسا,أخرى
169597497,ذكر,لا يوجد,لا يوجد,45.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,أخرى
171671813,ذكر,لا يوجد,لا يوجد,40.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك عبد العزيز
163589870,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,عمارة وتخطيط,جامعة الملك فيصل 
171566906,ذكر,لا يوجد,لا يوجد,38.0,دبلوم تقني أو ما يعادله,إدارة أعمال,أخرى
173124002,ذكر,لا يوجد,لا يوجد,45.0,البكالوريوس أو ما يعادلها,تسويق,جامعة الملك فهد للبترول و المعادن
169307657,ذكر,لا يوجد,لا يوجد,41.0,البكالوريوس أو ما يعادلها,الإعلام والإتصال,جامعة الملك سعود
172279280,ذكر,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,إدارة عامة,جامعة الملك عبد العزيز
162065430,ذكر,لا يوجد,لا يوجد,39.0,تعليم تقني عالي أو ما يعادله,تقنية المعلومات,أخرى
166696462,ذكر,لا يوجد,لا يوجد,49.0,ابتدائي,لغات وترجمة - اللسانيات ودراسا,أخرى
164784406,ذكر,لا يوجد,لا يوجد,46.0,البكالوريوس أو ما يعادلها,لغات وترجمة - انجليزي,جامعة الملك فيصل 
169210708,ذكر,لا يوجد,لا يوجد,70.0,البكالوريوس أو ما يعادلها,رياضيات – معلمين,جامعة الحدود الشمالية 
172554641,ذكر,لا يوجد,لا يوجد,51.0,دبلوم تقني أو ما يعادله,تقنية المعلومات,أخرى
168479301,ذكر,لا يوجد,لا يوجد,53.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة أم القرى 
172863457,ذكر,لا يوجد,لا يوجد,55.0,البكالوريوس أو ما يعادلها,علوم سياسية,جامعة الملك عبد العزيز
169376777,ذكر,لا يوجد,لا يوجد,41.0,البكالوريوس أو ما يعادلها,علم البحار,جامعة الملك عبد العزيز
164636126,ذكر,لا يوجد,لا يوجد,71.0,البكالوريوس أو ما يعادلها,إدارة عامة,جامعة الملك عبد العزيز
164573264,ذكر,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,نظم معلومات,جامعة الملك فهد للبترول و المعادن
166622409,ذكر,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,هندسة ميكانيكية,أخرى
163585162,ذكر,لا يوجد,لا يوجد,43.0,البكالوريوس أو ما يعادلها,مكتبات و معلومات,جامعة الملك سعود
160786662,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك عبد العزيز
167579708,ذكر,لا يوجد,لا يوجد,39.0,الماجستير أو ما يعادلها,محاسبة,جامعة أم القرى 
168976068,ذكر,لا يوجد,لا يوجد,38.0,الماجستير أو ما يعادلها,الجغرافيا,جامعة الملك سعود
160762758,ذكر,لا يوجد,لا يوجد,51.0,دبلوم تقني أو ما يعادله,هندسة كهربائية,أخرى
166514687,ذكر,لا يوجد,لا يوجد,53.0,دبلوم تقني أو ما يعادله,هندسة الطيران,جامعة تبوك 
164521929,ذكر,لا يوجد,لا يوجد,43.0,دبلوم تقني أو ما يعادله,الشبكات والإتصالات,أخرى
164074799,ذكر,لا يوجد,لا يوجد,40.0,دبلوم تقني أو ما يعادله,هندسة ميكانيكية,أخرى
169606773,ذكر,لا يوجد,لا يوجد,44.0,البكالوريوس أو ما يعادلها,نظم معلومات إدارية,جامعة الملك سعود
170960676,ذكر,لا يوجد,لا يوجد,53.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك عبد العزيز
165445226,ذكر,لا يوجد,لا يوجد,45.0,البكالوريوس أو ما يعادلها,هندسة حاسب,جامعة الملك فهد للبترول و المعادن
165457917,ذكر,لا يوجد,لا يوجد,45.0,البكالوريوس أو ما يعادلها,هندسة كهربائية,أخرى
165907542,ذكر,لا يوجد,لا يوجد,37.0,الماجستير أو ما يعادلها,الإعلام والإتصال,جامعة الملك سعود
172483569,ذكر,لا يوجد,لا يوجد,37.0,دبلوم تقني أو ما يعادله,الشبكات والإتصالات,أخرى
163002711,ذكر,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
162899656,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
171885439,ذكر,لا يوجد,لا يوجد,38.0,البكالوريوس أو ما يعادلها,رسم وفنون,جامعة حائل 
168736156,ذكر,لا يوجد,لا يوجد,58.0,البكالوريوس أو ما يعادلها,الرياضيات,أخرى
166707349,ذكر,لا يوجد,لا يوجد,39.0,ثانوية أو ما يعادلها,لغات وترجمة - اللسانيات ودراسا,أخرى
166006367,ذكر,لا يوجد,لا يوجد,40.0,دبلوم تقني أو ما يعادله,هندسة كهربائية,أخرى
163237397,ذكر,لا يوجد,لا يوجد,49.0,البكالوريوس أو ما يعادلها,قانون,جامعة الملك عبد العزيز
163038086,ذكر,الرياض,الرياض,50.0,دبلوم تقني أو ما يعادله,إدارة فنادق,مركز التدريب البيطري والانتاج الحيواني بالاحساء
160970574,ذكر,لا يوجد,لا يوجد,47.0,متوسط,لغات وترجمة - اللسانيات ودراسا,أخرى
162918148,ذكر,لا يوجد,لا يوجد,37.0,دبلوم تقني أو ما يعادله,هندسة كهربائية,أخرى
166596183,ذكر,لا يوجد,لا يوجد,38.0,الماجستير أو ما يعادلها,علوم حاسب,جامعة الملك فهد للبترول و المعادن
163870627,ذكر,لا يوجد,لا يوجد,40.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
163790485,ذكر,لا يوجد,لا يوجد,43.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك فيصل 
161703203,ذكر,لا يوجد,لا يوجد,46.0,دبلوم تقني أو ما يعادله,علوم حاسب,أخرى
163111752,ذكر,لا يوجد,لا يوجد,51.0,دبلوم تقني أو ما يعادله,علوم حاسب,أخرى
171529284,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,تقنية المعلومات,الجامعة العربية المفتوحة
165195689,ذكر,لا يوجد,لا يوجد,47.0,الماجستير أو ما يعادلها,إدارة أعمال,جامعة الفيصل 
162763610,ذكر,لا يوجد,لا يوجد,45.0,البكالوريوس أو ما يعادلها,تسويق,جامعة الملك فهد للبترول و المعادن
169363912,ذكر,لا يوجد,لا يوجد,65.0,البكالوريوس أو ما يعادلها,إدارة أعمال,جامعة الملك عبد العزيز
168100162,ذكر,لا يوجد,لا يوجد,49.0,دبلوم تقني أو ما يعادله,محاسبة,أخرى
161800559,ذكر,لا يوجد,لا يوجد,61.0,الماجستير أو ما يعادلها,الشريعة,أخرى
168360408,ذكر,لا يوجد,لا يوجد,40.0,دبلوم تقني أو ما يعادله,هندسة حاسب,أخرى
167023712,ذكر,لا يوجد,لا يوجد,47.0,تعليم تقني عالي أو ما يعادله,تقنية المعلومات,أخرى
172177396,ذكر,لا يوجد,لا يوجد,37.0,البكالوريوس أو ما يعادلها,نظم معلومات إدارية,جامعة الملك عبد العزيز
165658592,ذكر,لا يوجد,لا يوجد,42.0,أقل من تعليم ابتدائي,لغات وترجمة - اللسانيات ودراسا,أخرى
170936887,ذكر,لا يوجد,لا يوجد,43.0,دبلوم تقني أو ما يعادله,محاسبة,أخرى
166561863,ذكر,لا يوجد,لا يوجد,43.0,متوسط,لغات وترجمة - اللسانيات ودراسا,أخرى
161083681,ذكر,لا يوجد,لا يوجد,49.0,دبلوم تقني أو ما يعادله,علوم حاسب,أخرى
169682665,ذكر,لا يوجد,لا يوجد,39.0,البكالوريوس أو ما يعادلها,الشريعة,جامعة الملك فيصل 
