iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,human_development_index
SAU,Asia,Saudi Arabia,2020-03-02,1.0,1.0,,,,160.0,160.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-03,1.0,0.0,,,,240.0,400.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-04,1.0,0.0,,,,298.0,698.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-05,5.0,4.0,,,,487.0,1185.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-06,5.0,0.0,,,,1024.0,2209.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-07,5.0,0.0,,,,1982.0,4191.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-08,11.0,6.0,,,,1788.0,5979.0,,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-09,15.0,4.0,,,,2201.0,8180.0,0.002,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-10,20.0,5.0,,,,3655.0,11835.0,0.002,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-11,21.0,1.0,,,,2999.0,14834.0,0.001,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-12,45.0,24.0,,,,3644.0,18478.0,0.002,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-13,86.0,41.0,,,,3890.0,22368.0,0.004,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-14,103.0,17.0,,,,2983.0,25351.0,0.005,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-15,103.0,0.0,,,,2704.0,28055.0,0.004,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-16,118.0,15.0,,,,3555.0,31610.0,0.004,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-17,171.0,53.0,,,,4208.0,35818.0,0.006,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-18,171.0,0.0,,,,3605.0,39423.0,0.006,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-19,274.0,103.0,,,,4238.0,43661.0,0.009,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-20,344.0,70.0,,,,4776.0,48437.0,0.01,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-21,392.0,48.0,,,,5698.0,54135.0,0.01,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-22,511.0,119.0,,,,6033.0,60168.0,0.013,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-23,562.0,51.0,,,,7002.0,67170.0,0.012,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-24,767.0,205.0,1.0,1.0,,5911.0,73081.0,0.016,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-25,900.0,133.0,2.0,1.0,,4997.0,78078.0,0.019,,,,,34813867.0,31.9,3.295,1.845,1.8,25.4,0.854
