iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population,median_age,aged_65_older,aged_70_older,female_smokers,male_smokers,human_development_index
SAU,Asia,Saudi Arabia,2020-03-02,1,1,0,0,0,160,160,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-03,1,0,0,0,0,240,400,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-04,1,0,0,0,0,298,698,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-05,5,4,0,0,0,487,1185,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-06,5,0,0,0,0,1024,2209,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-07,5,0,0,0,0,1982,4191,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-08,11,6,0,0,0,1788,5979,0,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-09,15,4,0,0,0,2201,8180,0.002,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-10,20,5,0,0,0,3655,11835,0.002,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-11,21,1,0,0,0,2999,14834,0.001,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-12,45,24,0,0,0,3644,18478,0.002,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-13,86,41,0,0,0,3890,22368,0.004,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-14,103,17,0,0,0,2983,25351,0.005,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-15,103,0,0,0,0,2704,28055,0.004,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-16,118,15,0,0,0,3555,31610,0.004,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-17,171,53,0,0,0,4208,35818,0.006,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-18,171,0,0,0,0,3605,39423,0.006,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-19,274,103,0,0,0,4238,43661,0.009,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-20,344,70,0,0,0,4776,48437,0.01,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
SAU,Asia,Saudi Arabia,2020-03-21,392,48,0,0,0,5698,54135,0.01,0,0,0,0,34813867,31.9,3.295,1.845,1.8,25.4,0.854
